,ds,y
0,2017-11-13,28838
1,2017-11-27,61869
2,2017-11-28,52299
3,2017-11-29,34736
4,2017-11-30,31738
5,2017-12-01,34327
6,2017-12-02,40123
7,2017-12-03,37516
8,2017-12-04,28959
9,2017-12-05,28152
10,2017-12-06,28978
11,2017-12-07,30980
12,2017-12-08,34019
13,2017-12-09,42011
14,2017-12-10,38276
15,2017-12-11,30445
16,2017-12-12,29785
17,2017-12-13,28282
18,2017-12-14,27685
19,2017-12-15,29586
20,2017-12-16,37304
21,2017-12-17,37018
22,2017-12-18,29756
23,2017-12-19,30652
24,2017-12-20,30462
25,2017-12-21,52033
26,2017-12-22,83235
27,2017-12-23,86892
28,2017-12-24,80082
29,2017-12-26,125596
30,2017-12-27,117341
31,2017-12-28,109452
32,2017-12-29,100622
33,2017-12-30,97599
34,2017-12-31,87129
35,2018-01-01,92166
36,2018-01-02,88728
37,2018-01-03,84562
38,2018-01-04,78981
39,2018-01-05,56648
40,2018-01-06,55575
41,2018-01-07,51646
42,2018-01-08,39831
43,2018-01-09,36233
44,2018-01-10,35314
45,2018-01-12,78992
46,2018-01-13,48064
47,2018-01-14,93532
48,2018-01-15,41309
49,2018-01-16,36018
50,2018-01-17,34013
51,2018-01-18,31482
52,2018-01-19,34492
53,2018-01-20,43892
54,2018-01-21,42308
55,2018-01-22,32402
56,2018-01-23,32000
57,2018-01-24,30961
58,2018-01-25,31968
59,2018-01-26,35802
60,2018-01-27,45045
61,2018-01-28,43030
62,2018-01-29,33287
63,2018-01-30,30587
64,2018-01-31,31772
65,2018-02-01,31978
66,2018-02-02,35887
67,2018-02-03,42081
68,2018-02-04,39871
69,2018-02-05,31550
70,2018-02-06,31901
71,2018-02-07,31541
72,2018-02-08,31169
73,2018-02-09,35104
74,2018-02-10,43038
75,2018-02-11,40250
76,2018-02-12,30914
77,2018-02-13,32316
78,2018-02-14,29383
79,2018-02-15,43441
80,2018-02-16,59948
81,2018-02-17,69054
82,2018-02-18,64827
83,2018-02-19,55114
84,2018-02-20,34982
85,2018-02-21,31575
86,2018-02-22,35767
87,2018-02-23,37679
88,2018-02-24,44413
89,2018-02-25,40667
90,2018-02-26,31668
91,2018-02-27,30250
92,2018-02-28,31186
93,2018-03-01,33160
94,2018-03-02,39025
95,2018-03-03,44300
96,2018-03-04,42600
97,2018-03-05,31707
98,2018-03-06,29539
99,2018-03-07,28922
100,2018-03-08,32212
101,2018-03-09,35448
102,2018-03-10,41341
103,2018-03-11,39571
104,2018-03-12,31285
105,2018-03-13,30979
106,2018-03-14,28029
107,2018-03-15,28305
108,2018-03-16,31829
109,2018-03-17,38136
110,2018-03-18,37601
111,2018-03-19,28247
112,2018-03-23,33618
113,2018-03-24,40796
114,2018-03-25,39517
115,2018-03-26,31733
116,2018-03-27,34701
117,2018-03-28,33857
118,2018-03-29,34763
119,2018-03-30,38710
120,2018-03-31,38690
121,2018-04-01,40315
122,2018-04-02,37118
123,2018-04-03,33569
124,2018-04-04,31359
125,2018-04-05,28970
126,2018-04-06,29994
127,2018-04-07,35651
128,2018-04-08,35217
129,2018-04-09,27664
130,2018-04-10,27013
131,2018-04-11,25865
132,2018-04-12,26359
133,2018-04-13,27834
134,2018-04-14,34419
135,2018-04-15,35509
136,2018-04-16,27498
137,2018-04-17,26230
138,2018-04-18,24651
139,2018-04-19,24646
140,2018-04-20,25913
141,2018-04-21,32160
142,2018-04-22,31737
143,2018-04-23,24178
144,2018-04-24,26755
145,2018-04-25,26275
146,2018-04-26,25320
147,2018-04-27,26579
148,2018-04-28,32689
149,2018-04-29,32609
150,2018-04-30,26602
151,2018-05-01,25511
152,2018-05-02,25703
153,2018-05-03,26209
154,2018-05-04,28944
155,2018-05-05,32619
156,2018-05-06,32850
157,2018-05-07,25703
158,2018-05-08,26121
159,2018-05-09,26643
160,2018-05-10,26558
161,2018-05-11,28934
162,2018-05-12,34019
163,2018-05-13,33474
164,2018-05-15,27421
165,2018-05-16,25278
166,2018-05-17,26794
167,2018-05-18,29186
168,2018-05-19,36042
169,2018-05-20,35729
170,2018-05-21,30247
171,2018-05-22,28808
172,2018-05-23,27345
173,2018-05-24,30748
174,2018-05-25,32655
175,2018-05-26,37207
176,2018-05-27,38040
177,2018-05-28,43307
178,2018-05-29,46125
179,2018-05-30,51336
180,2018-05-31,43143
181,2018-06-01,41501
182,2018-06-02,44793
183,2018-06-03,40928
184,2018-06-05,36253
185,2018-06-06,36433
186,2018-06-07,34827
187,2018-06-08,35931
188,2018-06-09,39808
189,2018-06-10,40069
190,2018-06-11,38926
191,2018-06-12,39775
192,2018-06-13,38156
193,2018-06-14,35983
194,2018-06-15,35817
195,2018-06-16,38420
196,2018-06-17,38111
197,2018-06-18,35081
198,2018-06-19,34783
199,2018-06-20,34006
200,2018-06-21,59492
201,2018-06-22,109225
202,2018-06-23,109571
203,2018-06-24,103671
204,2018-06-25,89720
205,2018-06-26,84317
206,2018-06-27,78546
207,2018-06-28,74625
208,2018-06-29,77386
209,2018-06-30,82283
210,2018-07-01,82721
211,2018-07-02,76124
212,2018-07-03,70844
213,2018-07-04,74409
214,2018-07-05,64713
215,2018-07-06,44681
216,2018-07-07,41714
217,2018-07-08,40810
218,2018-07-09,36938
219,2018-07-10,36848
220,2018-07-11,33922
221,2018-07-12,34815
222,2018-07-13,37159
223,2018-07-14,37201
224,2018-07-15,37282
225,2018-07-16,34017
226,2018-07-17,34348
227,2018-07-18,32886
228,2018-07-19,33172
229,2018-07-23,31396
230,2018-07-24,32607
231,2018-07-25,34208
232,2018-07-26,32646
233,2018-07-27,31938
234,2018-07-28,34508
235,2018-07-29,34836
236,2018-07-30,33416
237,2018-07-31,32720
238,2018-08-01,32390
239,2018-08-02,32187
240,2018-08-03,33585
241,2018-08-04,35630
242,2018-08-07,33673
243,2018-08-08,32647
244,2018-08-09,38516
245,2018-08-10,41860
246,2018-08-11,41380
247,2018-08-12,40069
248,2018-08-13,35039
249,2018-08-15,32372
250,2018-08-16,31219
251,2018-08-17,31936
252,2018-08-18,34223
253,2018-08-19,35861
254,2018-08-20,30958
255,2018-08-21,29826
256,2018-08-22,27574
257,2018-08-23,27416
258,2018-08-24,29440
259,2018-08-25,33504
260,2018-08-26,34420
261,2018-08-27,28352
262,2018-08-28,29445
263,2018-08-29,35209
264,2018-08-30,38661
265,2018-08-31,39278
266,2018-09-01,43183
267,2018-09-02,40832
268,2018-09-03,39672
